Index;Титульник;Город;Компания;ЗпОт;ЗпДо;СрЗп;Валюта;Описание;Ссылка
1;Junior +/Middle Backend Разработчик (Python, Django);Алматы;ТОО Учёт. Бухгалтерия; ; ; ; ;Умение и готовность работать в команде – обсуждать, предлагать и аргументировать решения. Поддержка и развитие продукта Компании (новые фичи, доработка текущих...Опыт разработки на Python. Знание Celery, FastAPI, Redis. Знание RabbitMQ, gRPC, git, Docker. Умение работать с REST API. ;https://spb.hh.ru/vacancy/66748891?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
2;Middle Python backend developer;Москва, Аэропорт;Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем;90000;180000;135000;руб;Разработка веб-приложений и микросервисов. Участие в разработке архитектур проектов. Ведение и поддержка в актуальном состоянии технической документации и тестов. Опыт коммерческой разработки проектов на языке Python от 2-х лет. Знание актуальных стабильных версии Django / DRF / Flask / FastAPI. ;https://spb.hh.ru/vacancy/66742689?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
3;Middle/Senior Python Developer;Москва;ООО БОЛЬШАЯ ТРОЙКА;120000;300000;210000;руб;Проектировать и разрабатывать серверные приложения (backend) сложных web-порталов в agile команде. Архитектура сложных API. Проектирование и создание аналитических витрин...От 3 лет промышленной разработки на Python. Понимание подходов к проектированию архитектуры API (openapi). Отличное знание и владение: Python. ;https://spb.hh.ru/vacancy/66919282?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
4;Back-end разработчик;Москва;Own Script;150000;150000;150000;руб;Анализ задач и проектирование под них БД. Разработка бизнес логики под требования компании (имеется собственная платформа). Внедрений и поддержка новых...Знание SQL. Опыт проектирования БД от 1 года. Опыт работы с какой либо СУБД (желательно PostgreSQL). Навыки алгоритмизации. ;https://spb.hh.ru/vacancy/66909894?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
5;Linux Backend Developer;Москва;Plesk; ; ; ; ;Написание и модификация существующего кода на C/C/Python/Bash по интеграции Linux-сервисами. Сборка, и выпуск продукта в виде...2 года разработки системного ПО под Linux на C/C (STL, Boost) или Python. Базовые навыки администрирования и средств разработки...;https://spb.hh.ru/vacancy/66905842?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
6;Middle/Senior Backend Developer;Москва;ООО Ассистагро;200000;200000;200000;руб;Участие в создании сложного продукта, который станет лидером среди AgriTech решений в СНГ.Опыт коммерческой разработки от 2-х лет. Знание Python. Опыт работы с Flask/Django. Опыт работы с Redis, RabbitMQ, Celery. ;https://spb.hh.ru/vacancy/55871043?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
7;Бэк-энд разработчик (Python, SQL);Москва;ВАВТ МИНЭКОНОМРАЗВИТИЯ РОССИИ;100000;160000;130000;руб;Разработка API сервисов. Языка программирования Python. Объектно-ориентированного программирования, алгоритмов и структур данных. SQL и организации реляционных СУБД. Необходимо знание: Принципов построения REST API. Дистанционную работу (по желанию исполнителя). Необходим высокоскоростной доступ к Интернет для работы через Zoom...;https://spb.hh.ru/vacancy/55820857?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
8;Backend разработчик (FastAPI);Москва, Калужская;idaproject;90000;90000;90000;руб;Участвовать в разработке крупного проекта на основе микросервисной архитектуры. Разрабатывать сервисы на основе методологии TDD. Интегрировать сервисы со сторонними системами. Python и фреймворком FastAPI. SQL, опыт работы с PostgreSQL. Git. Linux. Docker. Знакомство с Clean Architecture. Опыт работы с Django...;https://spb.hh.ru/vacancy/55581294?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
9;QA Engineer (Backend);Самара;Тинькофф; ; ; ; ;Тестирование кредитных продуктов. Автоматизация тестирования. Проведение модульного, интеграционного, системного и функционального тестирования. Изучать продукты компании и пользовательские сценарии их использования.Опыт интеграционного тестирования (системная интеграция, компонентная интеграция). Опыт тестировании API (SOAP/REST). Опыт работы с очередями (MQ, kafka). ;https://spb.hh.ru/vacancy/52830106?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
10;Middle Python Developer;Санкт-Петербург;буше; ; ; ; ;"Разработка и поддержка: клиент-серверной архитектуры; .py скриптов обработки данных. Создание внутренних ad-hoc продуктов (более 5 проектов в стадии...Опыт поддержки работоспособности стендов dev/test/production. Опыт создание бэкенда (мы используем Flask). Опыт работы с системой контроля версий (Git). ";https://spb.hh.ru/vacancy/66101965?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
11;Python Backend Developer / WEB - разработчик;Москва;ООО Перфект Системс;220000;280000;250000;руб;Обязанности web-разработка, 85% backend / 15% database.Знание возможностей Python и экосистемы Python (модули, IDE, shell & bash). Опыт настройки среды Linux / Unix с помощью инструментов Python. ;https://spb.hh.ru/vacancy/55197951?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
12;Программист-разработчик Python;Екатеринбург;ООО Мелдана;150000;150000;150000;руб;Разработка программного обеспечения системы контроля доступа. Работа с периферией (терминалы, турникеты, контроллеры, интеграции). Проектирование архитектуры компонентов, программных интерфейсов и методов...Работал с Python 3, веб-фреймоворками (Flask, Django). Знает классические алгоритмы и структуры баз данных, сортировки. Преимуществом будет опыт работы...;https://spb.hh.ru/vacancy/55845528?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
13;PHP developer (backend/fullstack);Москва, Смоленская и еще 1 ;modesco;150000;230000;190000;руб;Интеграции с внешними сервисами. Можешь писать (или читать код) на python и(или) go. Писал или поддерживал API. Имеешь опыт разработки на PHP от 3-х лет и хорошо понимаешь его возможности. Умеешь писать и оптимизировать сложные SQL...;https://spb.hh.ru/vacancy/55300277?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
14;Python разработчик (backend);Санкт-Петербург;билайн: ИТ, Data, Digital; ; ; ; ;Разработка новых продуктов на языке python. Взаимодействие с мобильным приложением со стороны backend. Интеграция системы с другими внутренними проектами. Опыт Python от 2-3 лет. Умение выбирать оптимальный стек под продукт/задачу, работать с легковесными фреймворками. Опыт работы в...;https://spb.hh.ru/vacancy/66957933?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
15;Linux Backend Developer;Томск;Plesk; ; ; ; ;Написание и модификация существующего кода на C/C/Python/Bash по интеграции Linux-сервисами. Сборка, и выпуск продукта в виде...2 года разработки системного ПО под Linux на C/C (STL, Boost) или Python. Базовые навыки администрирования и средств разработки...;https://spb.hh.ru/vacancy/55840605?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
16;Python Backend Developer;Ростов-на-Дону;DBI; ; ; ; ;Работа с БД через SQL запросы или SQLAlchemy. Формирование структуры backend проекта. Поддержание качества кода. Взаимодействие с Front разработчиками в...Уверенное знание языка и библиотек Python. Знание фреймворка Flask/Pyramid/Tornado/Django. Базовые знания HTML, CSS, JavaScript – для верстки страниц. ;https://spb.hh.ru/vacancy/66744408?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
17;Backend Python developer;Москва;KRK Group;180000;250000;215000;руб;...количество пасов и т.д. - PyTorch(ML). - Работали с ML. - Backend разработка. - Улучшение архитектуры под будущие нагрузки. - Администрирование приложения. - Будет здорово, но необязательно если вы:;https://spb.hh.ru/vacancy/66711223?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
18;Инженер по автоматизированному тестированию/QA Python;Санкт-Петербург, Выборгская;Протей, НТЦ; ; ; ; ;...обеспечение (backend). Тестировать решения компании по интеграции со сторонним оборудованием. Поддерживать существующие и разрабатывать новые функциональные автотесты (мы используем Python...Понимание сетевых протоколов (модель OSI, стек TCP/IP - описание, сравнение, примеры). Опыт программирования на python. Опыт работы с БД на...;https://spb.hh.ru/vacancy/66916942?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
19;Программист Python;Москва;Group-IB; ; ; ; ;AssetZero — комплексное и основанное на данных киберразведки SaaS-решение, позволяющее организациям оценивать поверхность атаки и управлять ею. Решение обеспечивает полную...Знаешь базовые алгоритмы и структуры данных. Обладаешь средними знаниями SQL и реляционных БД (mysql/postgresql/oracle/mssql, индексы). ;https://spb.hh.ru/vacancy/55390481?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
20;Machine Learning + Python Developer;Санкт-Петербург, Спортивная;ООО Т.Т.Консалтинг;120000;120000;120000;руб;Разработка и доработка существующей обвязки под исполнение нейронных сетей различных топологий на Python. Запуск и управление инференсом моделей под Intel...Опыт работы с web, как в backend (REST API, WSS, Django), так и во frontend (второе на уровне понимания). ;https://spb.hh.ru/vacancy/55858592?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
21;Backend Developer на Python (Middle/Senior);Санкт-Петербург;Creative;130000;130000;130000;руб;Hello, World! Мы та самая компания с верандой на крыше и звёздными войнами головного мозга. Не, не слышали? Заполняем пробелы. Обязательно: Знаешь язык Python: Типы данных и как их эффективно применять. Итераторы, генераторы. Обладаешь знаниями: Принципов написания кода (DRY, KISS...;https://spb.hh.ru/vacancy/55551158?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
22;Senior Python Backend Developer (to Cyprus);Москва;FaceApp; ; ; ; ;Development of API for an application with hundreds of millions of users. Development of database architectures (PostgreSQL). Design and development...Expert knowledge of Python 3. Experience with relational databases (for example, PostgreSQL, MySQL). Knowledge of basic network protocols. ;https://spb.hh.ru/vacancy/55005394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
23;Junior Backend Developer (Python);Москва;Postuf; ; ; ; ;Работа с высоконагруженными сервисами. Поддержка и развитие существующих решений - бэкенд, базы данных, очереди задач. Оптимизация приложений и внедрение лучших практик...Опыт разработки на Python. Общее понимание принципов ООП. Базовое знание SQL и опыт работы с базами данных. Плюсом будет работа...;https://spb.hh.ru/vacancy/47348712?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
24;Разработчик бэкэнд (Python);Москва, Кузнецкий мост и еще 2 ;АНО Инфокультура;150000;150000;150000;руб;Опыт в использовании Python от 3 лет. - Опыт работы с PostgreSQL и MongoDB от 3 лет, в том числе проектирования...Опыт в использовании Python от 3 лет. - Опыт работы с PostgreSQL и MongoDB от 3 лет, в том числе проектирования...;https://spb.hh.ru/vacancy/66696558?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
